trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.95, 'e': 0.3342377271245026}",25,18,15.864594388972684,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.95, 'e': 0.32479628443877623}",30,3,23.88836468732596,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.95, 'e': 0.3153223623952687}",25,16,9.992338146043094,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.95, 'e': 0.3058169083782893}",30,13,10.438935016660558,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.95, 'e': 0.2962808729253187}",25,1,5.298301186451228,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.95, 'e': 0.28671520963195546}",20,0,-34.81827104086118,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
129,False,"{'a': 0.95, 'e': 0.2771208750565576}",30,3,-38.83487341614637,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 1}",1
130,False,"{'a': 0.95, 'e': 0.26749882862458735}",20,0,-3.3397221655668914,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.95, 'e': 0.2578500325326696}",30,0,-57.25564282024176,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
132,False,"{'a': 0.95, 'e': 0.2481754516523729}",25,15,19.788145074384754,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.95, 'e': 0.23847605343372313}",25,16,16.84949880052527,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.95, 'e': 0.22875280780845939}",20,1,-37.454048317983826,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.95, 'e': 0.2190066870930415}",20,0,-16.054978090430854,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.95, 'e': 0.20923866589141926}",20,11,14.731724804690511,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.95, 'e': 0.19944972099757285}",20,16,7.9584900510873595,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.95, 'e': 0.18964083129783424}",20,0,15.186621463071099,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.95, 'e': 0.17981297767299934}",35,21,27.906928049972016,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.95, 'e': 0.16996714290024081}",25,0,-14.048635727216269,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
141,False,"{'a': 0.95, 'e': 0.16010431155483126}",30,8,2.9114191302111343,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.95, 'e': 0.15022546991168584}",30,18,23.19080240041994,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.95, 'e': 0.1403316058467367}",20,11,18.192306818777507,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.95, 'e': 0.13042370873814554}",25,9,31.757668941854043,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.95, 'e': 0.1205027693673666}",25,8,-25.184932507422893,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.95, 'e': 0.11056977982006957}",20,8,20.999143249009183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.95, 'e': 0.10062573338693172}",25,15,-22.861471215688532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.95, 'e': 0.09067162446430967}",20,0,18.47901838261777,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.95, 'e': 0.08070844845480062}",30,10,12.42185732051312,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.95, 'e': 0.0707372016677029}",20,13,14.324439761988952,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.95, 'e': 0.0607588812193859}",30,18,6.835256170419804,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.95, 'e': 0.05077448493357918}",25,14,22.11424275825571,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.95, 'e': 0.040785011241591035}",35,24,18.220131257323768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.95, 'e': 0.030791459082466124}",30,18,19.355160606539982,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.95, 'e': 0.02079482780309243}",20,13,15.042643018076308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.95, 'e': 0.010796117058267392}",25,7,31.708385122392507,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.95, 'e': 0.0007963267107332633}",30,12,38.01093347486299,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.95, 'e': -0.009203543268808336}",30,20,20.790869369395953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,20.713072080623753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,7,18.10852901437133,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,15,11.242619118411177,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,14.242924617666125,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,15.899849581871958,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,9,28.383266441460876,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,17.54701204033277,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,16,7.446562366300347,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,18,20.44841205694839,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,10,37.97867765931943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
